Name;Ref.No;Status
===================
1;920242773;OK
2;31202411356;OK
3;3202421921;OK
4;2120242982;OK
5;3720242983;OK
8;13202422020;OK
9;25202411456;OK
11;1020242782;OK
12;2920241455;OK
13;820242556;OK
14;24202411444;OK
15;3920241357;OK
16;5202422012;OK
17;1820242610;OK
18;3220241345;OK but 19.29 <> 19.3
22;4202421674;OK
23;152024277;OK
24;6202421892;OK
28;1202421101;OK
29;3420241433;OK
31;19202421009;OK
35;3520242316;OK
36;17202421661;OK
37;22202421656;OK
38;23202421642;OK
39;25120240;OK
41;24120241;OK

PAID;27

6;11202421793;UNPAID
7;27202411328;UNPAID
10;16202421947;UNPAID
19;2202421919;UNPAID
20;2820242295;UNPAID
21;38202421006;UNPAID
25;14202422003;UNPAID
26;12202421909;UNPAID
27;30202411302;UNPAID
30;20202421412;UNPAID
32;3320241339;UNPAID
33;2620242301;UNPAID
34;362024290;UNPAID
40;28120247;UNPAID

UNPAID;14